model_version,lob,term,tag,charge_off_month,pay_off_month,total_loss_month
franchise4.0,FLD,36,6,20.360099207601827,36.06252283428478,18.03126141714239
franchise4.0,FLD,36,7,22.252341481699027,37.56512795237997,18.782563976189984
franchise4.0,FLD,36,8,17.1072756233378,39.06773307047517,19.533866535237586
franchise4.0,FLD,36,9,18.984232476489556,40.57033818857037,20.285169094285184
franchise4.0,FLD,36,10,19.995110611804613,42.072943306665564,21.036471653332782
franchise4.0,FLD,36,11,21.54487052390379,43.57554842476076,21.78777421238038
franchise4.0,FLD,36,12,15.246915766136967,45.078153542855965,22.539076771427982
franchise4.0,FLD,36,13,17.755246615485387,46.58075866095117,23.290379330475584
franchise4.0,FLD,36,14,18.67797315955748,48.083363779046365,24.041681889523183
franchise4.0,FLD,36,15,21.03223960924081,49.58596889714157,24.792984448570785
franchise4.0,FLD,48,0,17.24837394276032,30.05210236190398,15.02605118095199
franchise4.0,FLD,48,1,19.386545534543277,31.721663604231974,15.860831802115987
franchise4.0,FLD,48,2,20.827343378589603,33.39122484655998,16.69561242327999
franchise4.0,FLD,48,3,22.957320206582388,35.060786088887966,17.530393044443983
franchise4.0,FLD,48,4,19.04255477659391,36.73034733121597,18.365173665607983
franchise4.0,FLD,48,5,21.12533983495193,38.39990857354397,19.199954286771984
franchise4.0,FLD,48,6,22.622332452890916,40.06946981587197,20.034734907935984
franchise4.0,FLD,48,7,24.724823868554473,41.73903105819996,20.86951552909998
franchise4.0,FLD,48,8,19.008084025930888,43.408592300527964,21.704296150263982
franchise4.0,FLD,48,9,21.09359164054395,45.078153542855965,22.539076771427982
franchise4.0,FLD,48,10,22.21678956867179,46.74771478518396,23.37385739259198
franchise4.0,FLD,48,11,23.938745026559765,48.41727602751195,24.208638013755976
franchise4.0,FLD,48,12,16.94101751792996,50.086837269839954,25.043418634919977
franchise4.0,FLD,48,13,19.728051794983763,51.75639851216796,25.87819925608398
franchise4.0,FLD,48,14,20.75330351061942,53.42595975449596,26.71297987724798
franchise4.0,FLD,48,15,23.36915512137868,55.09552099682396,27.54776049841198
franchise4.0,FLD,60,0,18.973211337036357,33.057312598094384,16.528656299047192
franchise4.0,FLD,60,1,21.325200087997608,34.893829964655176,17.446914982327588
franchise4.0,FLD,60,2,22.91007771644857,36.73034733121598,18.36517366560799
franchise4.0,FLD,60,3,25.25305222724063,38.56686469777677,19.283432348888386
franchise4.0,FLD,60,4,20.946810254253304,40.40338206433757,20.201691032168785
franchise4.0,FLD,60,5,23.237873818447127,42.23989943089837,21.119949715449184
franchise4.0,FLD,60,6,24.884565698180012,44.076416797459174,22.038208398729587
franchise4.0,FLD,60,7,27.197306255409924,45.912934164019966,22.956467082009983
franchise4.0,FLD,60,8,20.90889242852398,47.74945153058077,23.874725765290385
franchise4.0,FLD,60,9,23.20295080459835,49.58596889714157,24.792984448570785
franchise4.0,FLD,60,10,24.438468525538973,51.42248626370236,25.71124313185118
franchise4.0,FLD,60,11,26.332619529215744,53.25900363026316,26.62950181513158
franchise4.0,FLD,60,12,18.63511926972296,55.095520996823964,27.547760498411982
franchise4.0,FLD,60,13,21.70085697448214,56.93203836338476,28.46601918169238
franchise4.0,FLD,60,14,22.828633861681368,58.76855572994557,29.384277864972784
franchise4.0,FLD,60,15,25.70607063351655,60.605073096506366,30.302536548253183
franchise4.0,FLD,72,0,20.698048731312387,36.06252283428478,18.03126141714239
franchise4.0,FLD,72,1,23.263854641451935,38.06599632507837,19.032998162539187
franchise4.0,FLD,72,2,24.992812054307528,40.069469815871976,20.034734907935988
franchise4.0,FLD,72,3,27.54878424789887,42.072943306665564,21.036471653332782
franchise4.0,FLD,72,4,22.851065731912694,44.07641679745917,22.038208398729584
franchise4.0,FLD,72,5,25.350407801942318,46.07989028825276,23.03994514412638
franchise4.0,FLD,72,6,27.1467989434691,48.083363779046365,24.041681889523183
franchise4.0,FLD,72,7,29.66978864226537,50.08683726983996,25.04341863491998
franchise4.0,FLD,72,8,22.809700831117066,52.090310760633564,26.045155380316782
franchise4.0,FLD,72,9,25.31230996865274,54.09378425142716,27.04689212571358
franchise4.0,FLD,72,10,26.66014748240615,56.097257742220755,28.048628871110378
franchise4.0,FLD,72,11,28.72649403187172,58.10073123301435,29.050365616507175
franchise4.0,FLD,72,12,20.329221021515956,60.10420472380795,30.052102361903977
franchise4.0,FLD,72,13,23.673662153980516,62.107678214601556,31.053839107300778
franchise4.0,FLD,72,14,24.903964212743308,64.11115170539516,32.05557585269758
franchise4.0,FLD,72,15,28.042986145654417,66.11462519618875,33.05731259809438
franchise4.0,FRN,36,0,13.66573182781559,23.8100109090121,11.90500545450605
franchise4.0,FRN,36,1,15.359785984579966,25.132789292846105,12.566394646423053
franchise4.0,FRN,36,2,16.50131718167558,26.45556767668011,13.227783838340056
franchise4.0,FRN,36,3,18.18887870065738,27.778346060514114,13.889173030257057
franchise4.0,FRN,36,4,15.087245195228853,29.101124444348116,14.550562222174058
franchise4.0,FRN,36,5,16.737417098792474,30.423902828182122,15.211951414091061
franchise4.0,FRN,36,6,17.92347091075545,31.74668121201613,15.873340606008066
franchise4.0,FRN,36,7,19.589255984298706,33.069459595850134,16.534729797925067
franchise4.0,FRN,36,8,15.059934328939217,34.39223797968414,17.19611898984207
franchise4.0,FRN,36,9,16.712263289381998,35.715016363518146,17.857508181759073
franchise4.0,FRN,36,10,17.602162924344153,37.03779474735215,18.518897373676076
franchise4.0,FRN,36,11,18.966452774797997,38.36057313118616,19.18028656559308
franchise4.0,FRN,36,12,13.42221609171046,39.68335151502016,19.84167575751008
franchise4.0,FRN,36,13,15.630358328859334,41.00612989885417,20.503064949427085
franchise4.0,FRN,36,14,16.442656058974674,42.328908282688175,21.164454141344088
franchise4.0,FRN,36,15,18.51517180640835,43.65168666652218,21.82584333326109
franchise4.0,FRN,48,0,15.184146475350653,26.455567676680108,13.227783838340054
franchise4.0,FRN,48,1,17.066428871755516,27.92532143649567,13.962660718247834
franchise4.0,FRN,48,2,18.33479686852842,29.395075196311232,14.697537598155616
franchise4.0,FRN,48,3,20.209865222952644,30.86482895612679,15.432414478063395
franchise4.0,FRN,48,4,16.763605772476502,32.33458271594235,16.167291357971173
franchise4.0,FRN,48,5,18.597130109769413,33.804336475757914,16.902168237878957
franchise4.0,FRN,48,6,19.914967678617167,35.274090235573475,17.637045117786737
franchise4.0,FRN,48,7,21.765839982554116,36.743843995389035,18.371921997694518
franchise4.0,FRN,48,8,16.733260365488018,38.213597755204596,19.106798877602298
franchise4.0,FRN,48,9,18.569181432646662,39.68335151502016,19.84167575751008
franchise4.0,FRN,48,10,19.557958804826836,41.15310527483572,20.57655263741786
franchise4.0,FRN,48,11,21.073836416442216,42.62285903465128,21.31142951732564
franchise4.0,FRN,48,12,14.913573435233843,44.092612794466845,22.046306397233423
franchise4.0,FRN,48,13,17.367064809843704,45.562366554282406,22.781183277141203
franchise4.0,FRN,48,14,18.26961784330519,47.032120314097966,23.516060157048983
franchise4.0,FRN,48,15,20.5724131182315,48.50187407391353,24.250937036956763
franchise4.0,FRN,60,0,16.702561122885722,29.101124444348123,14.550562222174062
franchise4.0,FRN,60,1,18.77307175893107,30.717853580145242,15.358926790072621
franchise4.0,FRN,60,2,20.16827655538127,32.33458271594236,16.16729135797118
franchise4.0,FRN,60,3,22.23085174524791,33.951311851739476,16.975655925869738
franchise4.0,FRN,60,4,18.439966349724155,35.56804098753659,17.784020493768296
franchise4.0,FRN,60,5,20.45684312074636,37.18477012333371,18.592385061666857
franchise4.0,FRN,60,6,21.906464446478886,38.80149925913083,19.400749629565414
franchise4.0,FRN,60,7,23.942423980809533,40.418228394927944,20.209114197463972
franchise4.0,FRN,60,8,18.406586402036822,42.034957530725066,21.017478765362533
franchise4.0,FRN,60,9,20.426099575911334,43.65168666652219,21.825843333261094
franchise4.0,FRN,60,10,21.51375468530952,45.2684158023193,22.63420790115965
franchise4.0,FRN,60,11,23.181220058086442,46.88514493811641,23.442572469058206
franchise4.0,FRN,60,12,16.40493077875723,48.501874073913534,24.250937036956767
franchise4.0,FRN,60,13,19.103771290828075,50.118603209710656,25.059301604855328
franchise4.0,FRN,60,14,20.096579627635712,51.73533234550777,25.867666172753886
franchise4.0,FRN,60,15,22.629654430054654,53.352061481304894,26.676030740652447
franchise4.0,FRN,72,0,18.220975770420786,31.74668121201613,15.873340606008066
franchise4.0,FRN,72,1,20.479714646106622,33.510385723794805,16.755192861897402
franchise4.0,FRN,72,2,22.00175624223411,35.27409023557348,17.63704511778674
franchise4.0,FRN,72,3,24.251838267543175,37.03779474735215,18.518897373676076
franchise4.0,FRN,72,4,20.116326926971805,38.80149925913082,19.40074962956541
franchise4.0,FRN,72,5,22.3165561317233,40.5652037709095,20.28260188545475
franchise4.0,FRN,72,6,23.8979612143406,42.328908282688175,21.164454141344088
franchise4.0,FRN,72,7,26.119007979064943,44.092612794466845,22.046306397233423
franchise4.0,FRN,72,8,20.079912438585623,45.85631730624552,22.92815865312276
franchise4.0,FRN,72,9,22.283017719175998,47.6200218180242,23.8100109090121
franchise4.0,FRN,72,10,23.469550565792204,49.38372632980287,24.691863164901434
franchise4.0,FRN,72,11,25.28860369973066,51.14743084158154,25.57371542079077
franchise4.0,FRN,72,12,17.896288122280612,52.911135353360216,26.455567676680108
